x,y
50,1
51,1
52,
53,
54,2
55,3
56,1
57,2
58,2
59,2
60,3
61,1
62,2
63,3
64,4
65,4
66,5
67,4
68,2
69,1
70,1
71,3
72,3
73,2
74,2
75,3
76,3
77,3
78,4
79,4
80,5
81,4
82,3
83,2
84,3
85,2
86,2
87,2
88,2
89,4
90,1
91,2
92,
93,2
94,3
95,
96,4
97,5
98,6
99,
100,1
101,2
102,3
103,4
104,5
105,4
106,3
107,1
108,1
109,1
110,1
111,2
112,2
113,2
114,2
115,
116,2
117,2
118,2
119,3
120,3
121,3
122,3
123,3
124,3
125,2
126,4
127,
128,4
129,4
130,4
131,4
132,4
133,4
134,3
135,
136,3
137,3
138,3
139,3
140,3
141,2
142,2
143,2
144,1
145,3
146,4
147,5
148,5
149,5
150,5
151,4
152,4
153,4
154,4
155,4
156,4
157,2
158,2
159,3
160,1
161,1
162,1
163,1
164,
165,3
166,1
167,2
168,2
169,3
170,3
171,2
172,2
173,3
174,3
175,2
176,3
177,2
178,3
179,2
180,3
181,2
182,20
183,2
184,17
185,11
186,11
187,6
188,7
189,8
190,8
191,4
192,4
193,6
194,6
195,6
196,5
197,5
198,6
199,
200,6
201,4
202,4
203,3
204,10
205,2
206,4
207,5
208,6
209,
210,7
211,8
212,
213,8
214,8
215,8
216,8
217,9
218,12
219,11
220,1
221,1
222,1
223,2
224,1
225,3
226,4
227,4
228,5
229,6
230,1
231,2
232,4
233,3
234,4
235,3
236,2
237,3
238,2
239,4
240,4
241,3
242,3
243,2
244,2
245,2
246,1
247,1
248,1
